Time,V_Current,U_Current,SBG EKF Velocity N,SBG EKF Velocity E,SBG EKF Velocity N Acc,SBG EKF Velocity E Acc,SBG EKF Latitude,SBG EKF Longitude,SBG Heading2,OD19_TRUE_WIND_SPEED,OD19_TRUE_WIND_DIRECTION,ADCP_DC3_V2,ADCP_DC4_V2
1474113861.9999561,0.0063930820401895535,-0.33895402397525554,8.511029728463798,14.035876023454207,0.09847400075586552,0.09875781515477049,32.7041748018832,-117.83616051829262,58.98,3.3363449999999997,245.2252,16.61936236391913,16.576594090202178
1474113862.9999552,0.0064019443212559,-0.338964551765472,8.468847623323764,14.082958130962556,0.0986659719752116,0.09894940254755005,32.70421442510862,-117.83608308180274,59.03,3.1991487000000003,247.55132000000003,16.576594090202178,16.46384136858476
1474113863.9999542,0.00641074030030462,-0.33897406570358635,8.44888145779006,14.094552763884028,0.09862215781054268,0.09890568977103079,32.70425363365431,-117.8360057902155,59.01,2.835208,250.03517000000002,16.67768273716952,16.580482115085537
1474113864.9999533,0.006419507115318823,-0.33898246890503547,8.318573468209797,14.076709376523507,0.09864767141420029,0.09893135545691288,32.704292446497796,-117.83592850882073,59.0,2.8108177000000003,249.85095,16.603810264385693,16.551321928460343
1474113865.9999523,0.006428312640722947,-0.3389898302219134,8.245523943686004,14.11276694219183,0.09863327429695042,0.09891720456802641,32.70433098073285,-117.83585098653555,58.99,2.7452526,242.86102000000002,16.763219284603423,16.763219284603423
1474113866.9999514,0.006437116280019101,-0.3389951063778319,8.199146338977489,14.162138683799638,0.09832530779239736,0.09860931048358025,32.704368830019014,-117.83577338966265,59.0,2.583386,234.95342999999997,16.691290824261277,16.6796267496112
1474113867.9999504,0.006446025292591245,-0.33900003940953655,8.148329439652652,14.184413022980165,0.09827099271222926,0.09855516196965801,32.704406728296924,-117.83569529420504,59.04,2.2855642000000005,236.14854,16.636858475894247,16.61353032659409
1474113868.9999495,0.006454982008861001,-0.339004699373341,8.156134589092913,14.218435873325284,0.09823696974601197,0.09852100140523763,32.70444461979154,-117.83561691085552,59.11,2.005487,243.69113,16.582426127527217,16.654354587869364
1474113869.9999485,0.006463984317436087,-0.3390097903144595,8.1615397941269,14.216936023943532,0.09850959523840233,0.09879346757339283,32.70448273827917,-117.83553823480815,59.15,1.9796506999999999,251.07306,16.62519440124417,16.61353032659409
1474113870.9999475,0.0064727680080375605,-0.3390144009755701,8.160218851377213,14.18162096714714,0.09833604769424925,0.09861970276891907,32.704520413556644,-117.8354602586991,59.19,2.0309317,252.81586000000001,16.549377916018663,16.438569206842924
1474113871.9999466,0.006481568330813478,-0.3390199069442963,8.217461557818424,14.146720269234333,0.09864408661890921,0.09892724199484149,32.70455843200669,-117.835382088818,59.27,1.9027371,250.6062,16.378304821150856,16.391912908242613
1474113872.9999456,0.00649017394584181,-0.3390265754243632,8.27923903754488,14.117970993136916,0.09863974865450645,0.09892273022218219,32.704596591975566,-117.83530450334749,59.34,1.7984941000000003,250.77374,16.489113530326595,16.436625194401245
1474113873.9999447,0.006498577708247795,-0.33903415904867695,8.31908701367178,14.075089947061258,0.09836715937216954,0.09865001782566356,32.704634800461434,-117.8352275337516,59.45,1.714541,252.2183,16.504665629860032,16.46384136858476
1474113874.9999437,0.006507114246907283,-0.3390425352182858,8.36466370993417,14.05328465842904,0.09858379687992262,0.09886680017363043,32.70467347740355,-117.83514993942123,59.54,1.6545055,260.12225,16.40357698289269,16.36275272161742
1474113875.9999428,0.006515359600510349,-0.3390517168717112,8.354128612144553,14.058756605833539,0.09832370730803507,0.0986068192319032,32.70471204281964,-117.83507329476222,59.64,1.8299332999999998,259.3225,16.578538102643858,16.494945567651634
1474113876.9999418,0.006523740360122178,-0.3390598625737603,8.274426171049175,14.084374552381169,0.09836700004793437,0.09865001782566356,32.70475046687585,-117.83499604664703,59.68,1.8100414,260.25714,16.40357698289269,16.40746500777605
1474113877.9999409,0.006532106839042155,-0.33906739868266145,8.218027940990394,14.099536194215482,0.09842219865340653,0.09870520918912502,32.70478868660887,-117.83491874375306,59.66,1.8737264,257.81015,16.52216174183515,16.448289269051322
1474113878.99994,0.006540503251392907,-0.3390732964858308,8.156308860838136,14.124012104645487,0.09845095667785286,0.09873395997156066,32.70482641829362,-117.83484124008908,59.63,1.9977391,252.91411000000002,16.603810264385693,16.62130637636081
1474113879.999939,0.006548923487619995,-0.3390794098286139,8.103648203527946,14.18528623566101,0.09876956169610818,0.09870470949038748,32.70486427538925,-117.83476352397639,59.56,2.0433242,249.96794,16.603810264385693,16.605754276827373
1474113880.999938,0.006557461722088693,-0.33908414009762455,8.082499214872417,14.240459928616396,0.09889847672838446,0.09865535518754141,32.70490185199304,-117.83468527277341,59.45,2.1483312000000003,244.62141,16.708786936236393,16.634914463452567
1474113881.999937,0.006565987190435028,-0.3390889919714305,8.092482761127952,14.279094491368319,0.09893324562170272,0.09861189588139625,32.70493947247634,-117.83460694584409,59.38,1.9356927,239.05587999999997,16.662130637636082,16.62519440124417
